in_spotify_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,season,genre,num_followers
30,101,10.0,0,34,32,57,78,0,20,3,Spring,pop,12483564.0
9,130,5.0,0,63,36,34,76,0,35,9,Summer,pop,12483564.0
17,142,2.0,0,50,20,64,1,0,12,3,Summer,pop,92584265.0
36,170,1.0,0,59,48,76,4,0,10,5,Summer,pop,12483564.0
44,124,8.0,1,78,70,68,3,1,11,4,Spring,pop,12483564.0
53,110,1.0,0,50,45,41,75,0,11,3,Fall,pop,11913232.0
43,92,1.0,1,91,43,71,9,0,9,8,Spring,pop,12483564.0
53,116,2.0,0,82,40,66,39,51,25,7,Summer,french pop,921947.0
50,129,9.0,0,63,84,82,70,8,9,7,Summer,pop,12483564.0
12,98,8.0,0,71,67,60,19,0,12,3,Spring,contemporary country,9545937.0
25,172,1.0,1,74,76,76,6,0,10,9,Spring,alternative r&b,368505.0
38,150,2.0,0,68,14,76,4,0,10,4,Spring,pop,12483564.0
23,136,9.0,1,62,19,53,11,0,6,4,Fall,pop,92584265.0
39,88,1.0,1,53,34,47,9,0,83,4,Summer,k-pop,11174072.0
23,143,3.0,0,83,69,44,15,0,10,33,Spring,pop,12483564.0
46,100,6.0,1,49,17,35,71,9,11,3,Spring,art pop,29649472.0
25,143,5.0,0,56,39,55,14,0,11,13,Winter,pop,15719257.0
52,112,1.0,1,56,24,66,7,0,12,3,Winter,art pop,29649472.0
47,93,7.0,0,62,57,59,3,0,38,3,Summer,k-pop,70986309.0
23,206,7.0,0,43,50,55,50,0,15,10,Winter,pop,92584265.0
58,88,7.0,1,68,17,71,15,0,11,5,Winter,pop,12483564.0
39,170,2.0,0,50,37,90,0,0,12,5,Spring,dfw rap,42692662.0
61,84,4.0,1,62,24,67,21,0,13,28,Winter,detroit hip hop,78441713.0
35,134,4.0,1,81,53,72,51,0,12,5,Summer,k-pop,6084241.0
27,158,10.0,0,54,50,40,61,0,10,6,Spring,corrido,8797974.0
52,116,1.0,0,80,92,80,4,0,10,3,Fall,pop,12483564.0
21,117,1.0,0,61,45,69,2,0,9,3,Spring,alt z,3166420.0
44,114,5.0,1,77,65,72,2,0,7,5,Spring,modern rock,51049147.0
43,108,2.0,1,61,47,68,0,0,13,3,Winter,british soul,52532812.0
32,144,4.0,1,74,37,53,7,0,21,10,Winter,pop,12483564.0
6,130,5.0,0,51,18,44,76,0,11,3,Winter,indonesian pop,726545.0
18,116,11.0,0,77,79,62,33,1,15,3,Summer,pop,12483564.0
15,121,7.0,0,65,49,78,0,0,17,4,Summer,pop,92584265.0
25,112,7.0,0,64,54,81,36,0,11,6,Winter,new romantic,3156899.0
36,100,10.0,1,70,47,52,30,0,6,33,Winter,conscious hip hop,21910661.0
59,150,3.0,1,55,30,78,24,0,12,8,Winter,europop,1001959.0
38,120,5.0,1,84,96,71,18,0,34,17,Winter,pop,12483564.0
34,127,11.0,1,82,89,85,4,0,23,6,Spring,pop,12483564.0
22,90,5.0,0,51,42,61,53,0,9,3,Summer,pop,92584265.0
11,128,9.0,1,75,79,63,33,0,15,4,Summer,pop,12483564.0
48,143,9.0,0,64,31,87,4,4,8,4,Spring,pop,12483564.0
27,139,8.0,0,74,68,68,3,0,26,4,Summer,pop,6363798.0
26,162,10.0,0,49,78,64,19,0,11,4,Winter,pop,12483564.0
24,92,-1.0,0,81,39,60,31,0,7,3,Summer,corridos tumbados,8991482.0
38,95,5.0,0,87,57,55,10,0,29,7,Summer,colombian pop,8244846.0
52,146,2.0,0,63,88,93,3,0,10,8,Summer,pop,12483564.0
34,95,-1.0,0,55,56,82,12,0,34,5,Fall,pop,30142706.0
30,115,4.0,1,35,12,30,93,0,10,3,Summer,pop,12483564.0
32,128,11.0,0,78,59,65,10,0,26,5,Summer,pop,12483564.0
33,130,4.0,1,82,69,83,3,0,27,5,Spring,k-pop girl group,7824041.0
27,127,9.0,1,80,74,77,36,0,11,4,Winter,k-pop,6084241.0
